country_code,language_code,language_name,script_code,short_name,official_name,romanized_short_name,romanized_official_name,is_official_language,source_id,source_locator
BR,pt,Portuguese,Latn,Brasil,República Federativa do Brasil,,,true,ungegn-country-names-2017,"BR entry, PDF page 17 (printed page 16)"
CH,de,German,Latn,Schweiz,Schweizerische Eidgenossenschaft,,,true,ungegn-country-names-2017,"CH entry, PDF page 92 (printed page 91)"
CH,fr,French,Latn,Suisse,Confédération suisse,,,true,ungegn-country-names-2017,"CH entry, PDF page 92 (printed page 91)"
CH,it,Italian,Latn,Svizzera,Confederazione Svizzera,,,true,ungegn-country-names-2017,"CH entry, PDF page 92 (printed page 91)"
CH,rm,Romansh,Latn,Svizra,Confederaziun svizra,,,true,ungegn-country-names-2017,"CH entry and note 1, PDF page 92 (printed page 91)"
CL,es,Spanish,Latn,Chile,República de Chile,,,true,ungegn-country-names-2017,"CL entry, PDF page 23 (printed page 22)"
CN,zh,Chinese,Hans,中国,中华人民共和国,Zhongguo,Zhonghua Renmin Gongheguo,true,ungegn-country-names-2017,"CN entry, PDF page 23 (printed page 22)"
DO,es,Spanish,Latn,República Dominicana,República Dominicana,,,true,ungegn-country-names-2017,"DO entry, PDF page 30 (printed page 29)"
FR,fr,French,Latn,France,République française,,,true,ungegn-country-names-2017,"FR entry, PDF page 36 (printed page 35)"
IN,en,English,Latn,India,Republic of India,,,true,ungegn-country-names-2017,"IN entry, PDF page 44 (printed page 43)"
IN,hi,Hindi,Deva,भारत,भारत गणराज्य,Bhārat,Bhārat Gaṇarājya,true,ungegn-country-names-2017,"IN entry, PDF page 44 (printed page 43)"
IS,is,Icelandic,Latn,Ísland,Lýðveldið Ísland,,,true,ungegn-country-names-2017,"IS entry and note 1, PDF page 44 (printed page 43)"
JP,ja,Japanese,Jpan,日本,日本国,"Nihon, or Nippon","Nihon-koku, or Nippon-koku",true,ungegn-country-names-2017,"JP entry and note 1, PDF page 48 (printed page 47)"
SN,fr,French,Latn,Sénégal,République du Sénégal,,,true,ungegn-country-names-2017,"SN entry, PDF page 81 (printed page 80)"
